Month;Year;price_over_5000_Kw;price_under_5000_kw
1;2003;113,4;84,5
2;2003;146,5;97
3;2003;141,8;95,3
4;2003;112,6;85,3
5;2003;91,8;77,3
6;2003;92,2;77,5
7;2003;88,8;76,1
8;2003;99,9;80,9
9;2003;98,6;80,4
10;2003;109,3;84,8
11;2003;87,7;76,3
12;2003;93,8;79
1;2004;122,4;91,3
2;2004;103;84
3;2004;97,9;81,9
4;2004;95,7;86,4
5;2004;99,9;88,4
6;2004;98,5;87,8
7;2004;96,3;86,8
8;2004;93,4;85,5
9;2004;100,7;88,9
10;2004;99,5;88,3
11;2004;103,9;90,3
12;2004;102,5;89,7
1;2005;111,9;93,8
2;2005;100;88,6
3;2005;113,5;94,8
4;2005;115,1;98,3
5;2005;104,6;93,6
6;2005;125,7;103,2
7;2005;138;108,5
8;2005;155,1;115,2
9;2005;160;117,2
10;2005;135,3;108,1
11;2005;110,7;98,2
12;2005;139;111
1;2006;106,1;97,9
2;2006;100,3;94,4
3;2006;97,7;93,9
4;2006;92;91,1
5;2006;94,9;96,4
6;2006;92,4;94,8
7;2006;99,9;98,7
8;2006;102,8;100,2
9;2006;78,4;88,1
10;2006;84,4;91,5
11;2006;96,3;96,6
12;2006;84,4;90,6
1;2007;89,8;79,7
2;2007;107,7;82,7
3;2007;102,9;87,3
4;2007;92;81,9
5;2007;83,8;77,4
6;2007;92,2;81,4
7;2007;91,2;80,9
8;2007;103,6;86,5
9;2007;91,7;81,4
10;2007;96,2;83,4
11;2007;92,9;80,8
12;2007;96,9;82,6
1;2008;80,9;77
2;2008;94,6;83,7
3;2008;98,9;85,7
4;2008;91,1;82,1
5;2008;74,9;73,4
6;2008;105,3;88,9
7;2008;105,3;88,9
8;2008;90,8;82,6
9;2008;93,5;83,9
10;2008;87,4;81
11;2008;95;87,1
12;2008;90,2;84,2
1;2009;98;88
2;2009;90,6;84,5
3;2009;69,3;74,2
4;2009;56,5;66,8
5;2009;67,5;74,6
6;2009;62,4;71,7
7;2009;57;68,4
8;2009;66,6;74,5
9;2009;58,2;69,6
10;2009;68,9;76,3
11;2009;65,7;74,6
12;2009;75,5;80,5
1;2010;78,2;82,3
2;2010;76;81,1
3;2010;67,1;76,2
4;2010;70,5;78,2
5;2010;81,1;89,9
6;2010;82,5;90,7
7;2010;104,7;106,8
8;2010;95,3;101,8
9;2010;79,3;92,9
10;2010;74,5;89,9
11;2010;77,6;91,4
12;2010;81,9;94,1
1;2011;78,1;91,9
2;2011;79;92,4
3;2011;76,4;90,8
4;2011;74;89,3
5;2011;70,5;88,2
6;2011;79,3;95,5
7;2011;80,8;97,5
8;2011;78,8;92,5
9;2011;78,8;92,5
10;2011;80,4;94,1
11;2011;79,5;93,7
12;2011;79,2;93
1;2012;76,7;90,9
2;2012;77,8;92,7
3;2012;79,2;94,8
4;2012;80,2;98,1
5;2012;81,8;95,4
6;2012;81,3;94,6
7;2012;85,8;97,9
8;2012;73,2;85,4
9;2012;78;90,7
10;2012;80,7;93,7
11;2012;84,1;96,2
12;2012;77,2;90,1
1;2013;84,1;94,8
2;2013;85,1;98,2
3;2013;82,9;95,1
4;2013;87,9;101,1
5;2013;87,1;101,4
6;2013;96,1;109,9
7;2013;92,2;106,4
8;2013;87,3;99,5
9;2013;94,1;110,9
10;2013;86,9;101,7
11;2013;92;106,6
12;2013;102,1;113,9
1;2014;109,1;108,9
2;2014;121,8;111,1
3;2014;111,6;101,4
4;2014;81,7;54
5;2014;88,4;88,8
6;2014;101,2;110,3
7;2014;94,3;97,3
8;2014;94,9;97,3
9;2014;95,4;106,4
10;2014;94,3;97,1
11;2014;104,2;120,7
12;2014;103,2;106,7
1;2015;99,5;99,2
2;2015;117,3;125,4
3;2015;94,6;83,6
4;2015;101,6;99,7
5;2015;108,3;119,9
6;2015;108;118,6
7;2015;112,6;121,1
8;2015;112,5;121,3
9;2015;112,9;123,1
10;2015;103,1;104,7
11;2015;107;104,2
12;2015;111,3;131,4
1;2016;111,7;114,4
2;2016;114,7;127,4
3;2016;107,3;113,1
4;2016;113,2;135
5;2016;115,5;128,4
6;2016;122,4;142
7;2016;116,1;116,1
8;2016;123,3;129,1
9;2016;108,2;107,3
10;2016;113;122,8
11;2016;123;143,7
12;2016;119,5;134,9
